Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2000,,KY,50,,,,,,,,,
2000,,LA,52,,,,,,,,,
2000,,MA,5218,,,,,,,,,
2000,,MD,452,,,,,,,,,
2000,,ME,834,,,,,,,,,
2000,,MI,3636,,,,,,,,,
2000,,MN,7352,,,,,,,,,
2000,,MO,206,,,,,,,,,
2000,,MS,22,,,,,,,,,
2000,,MT,313,,,,,,,,,
2000,,NC,219,,,,,,,,,
2000,,ND,584,,,,,,,,,
2000,,NE,54,,,,,,,,,
2000,,NH,1014,,,,,,,,,
2000,,NJ,785,,,,,,,,,
2000,,NM,91,,,,,,,,,
2000,,NV,31,,,,,,,,,
2000,,NY,3465,,,,,,,,,
2000,,OH,647,,,,,,,,,
2000,,OK,22,,,,,,,,,
2000,,OR,111,,,,,,,,,
2000,,PA,1135,,,,,,,,,
2000,,RI,537,,,,,,,,,
2000,,SC,33,,,,,,,,,
2000,,SD,224,,,,,,,,,
2000,,TN,77,,,,,,,,,
2000,,TX,311,,,,,,,,,
2000,,UT,204,,,,,,,,,
2000,,VA,326,,,,,,,,,
2000,,VT,923,,,,,,,,,
2000,,WA,491,,,,,,,,,
2000,,WI,2464,,,,,,,,,
2000,,WV,77,,,,,,,,,
2000,,WY,223,,,,,,,,,
2001,,AK,1098,,,,,,,,,
2001,,AL,30,,,,,,,,,
2001,,AR,16,,,,,,,,,
2001,,AZ,416,,,,,,,,,
2001,,CA,1056,,,,,,,,,
2001,,CO,1300,,,,,,,,,
2001,,CT,1456,,,,,,,,,
2001,,DC,70,,,,,,,,,
2001,,DE,49,,,,,,,,,
2001,,FL,358,,,,,,,,,
2001,,GA,67,,,,,,,,,
2001,,HI,13,,,,,,,,,
2001,,IA,152,,,,,,,,,
2001,,ID,325,,,,,,,,,
2001,,IL,1393,,,,,,,,,
2001,,IN,255,,,,,,,,,
2001,,KS,65,,,,,,,,,
2001,,KY,68,,,,,,,,,
2001,,LA,41,,,,,,,,,
2001,,MA,5744,,,,,,,,,
