Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2012,Southeastern,FL,-5,-14,-6,6,-10,7,11,-12,-1,14
2012,Southeastern,AR,1,-5,1,3,1,-1,-1,-1,2,2
2012,Southeastern,AL,-22,-5,0,1,-4,-2,-1,-1,-9,-1
2012,Southeastern,MD,22,11,-8,-8,-7,23,7,14,-3,-7
2012,Southeastern,DC,10,5,-1,1,-3,1,-6,4,3,6
2013,Atlantic,DE,-7,-7,-2,3,-5,0,-2,3,0,3
2013,Atlantic,E PA,119,-14,1,8,-8,53,-8,10,25,52
2013,Atlantic,NJ,107,49,9,-1,6,17,-9,7,8,21
2013,Central,IL,165,43,4,5,17,11,41,-2,2,44
2013,Central,IA,24,19,-4,5,9,-1,4,-12,1,3
2013,Central,KS,17,7,-1,4,-1,-1,6,0,-1,4
2013,Central,MO,23,17,0,0,-5,10,13,-21,0,9
2013,Central,NE,10,0,0,-2,11,-3,0,5,-1,0
2013,Central,WI,-90,4,19,-43,-56,25,-38,-10,-25,34
2013,Massachusetts,MA,354,121,18,-1,101,103,-1,36,-34,11
2013,Michigan,MI,-35,-1,-6,11,-32,29,-50,11,-32,35
2013,Mid-American,WV,1,8,-1,0,-6,0,-1,-8,9,0
2013,Mid-American,W PA,55,-9,-4,-1,12,3,21,19,24,-10
2013,Mid-American,IN,23,-27,-7,-1,8,-9,-4,0,6,57
2013,Mid-American,KY,10,6,1,-3,-5,0,6,-1,2,4
2013,Mid-American,OH,-18,-4,-4,-10,-2,13,-2,3,-17,5
2013,Minnesota,MN,203,168,-14,15,-36,26,-45,-18,-18,125
2013,New England,CT,56,-13,8,4,-5,7,13,20,-12,34
2013,New England,ME,-61,19,-9,-28,11,16,-14,-35,-10,-11
2013,New England,NH,69,22,-2,7,-6,12,-17,24,4,25
2013,New England,RI,24,9,-1,-14,17,-18,-4,16,8,11
2013,New England,VT,14,4,-4,-8,-11,-11,9,-1,20,16
2013,New York,NY,-65,44,-6,-15,21,-19,-42,-12,-55,19
